Exit stations,Entry stations->,,WEEKDAY,,,Jan 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
FV, 	101 , 	138 , 	66 , 	74 , 	282 , 	117 , 	212 , 	166 , 	249 , 	166 , 	12 , 	241 , 	226 , 	269 , 	262 , 	112 , 	90 , 	142 , 	54 , 	31 , 	44 , 	20 , 	33 , 	59 , 	120 , 	707 , 	703 , 	742 , 	617 , 	230 , 	157 , 	64 , 	96 , 	90 , 	14 , 	50 , 	145 , 	12 , 	61 , 	13 , 	15 , 	46 , 	19 ," 	7,069 ",,,OAK,"15,082","1,871","3,784","5,651","4,759","8,304",920,"40,371"
CL, 	84 , 	143 , 	58 , 	61 , 	219 , 	99 , 	209 , 	217 , 	354 , 	200 , 	257 , 	9 , 	111 , 	197 , 	222 , 	109 , 	100 , 	207 , 	74 , 	70 , 	69 , 	31 , 	24 , 	65 , 	100 , 	497 , 	423 , 	467 , 	353 , 	117 , 	108 , 	60 , 	77 , 	109 , 	19 , 	66 , 	217 , 	23 , 	102 , 	22 , 	25 , 	37 , 	33 ," 	6,040 ",,,CM line,"28,657","3,621","8,041","2,680","1,989","2,987","2,501","50,474"
SL, 	42 , 	64 , 	28 , 	32 , 	139 , 	41 , 	121 , 	227 , 	337 , 	242 , 	233 , 	115 , 	7 , 	110 , 	169 , 	75 , 	88 , 	167 , 	34 , 	25 , 	29 , 	7 , 	9 , 	16 , 	35 , 	607 , 	559 , 	440 , 	378 , 	98 , 	74 , 	35 , 	56 , 	55 , 	8 , 	43 , 	116 , 	6 , 	38 , 	8 , 	16 , 	30 , 	13 ," 	4,972 ",,,RM line,"12,275","5,824","2,947","6,640","1,500","3,774",908,"33,869"
BF, 	41 , 	50 , 	16 , 	19 , 	132 , 	49 , 	129 , 	209 , 	346 , 	220 , 	270 , 	200 , 	110 , 	8 , 	173 , 	120 , 	131 , 	240 , 	28 , 	16 , 	21 , 	6 , 	4 , 	13 , 	43 , 	523 , 	551 , 	422 , 	336 , 	74 , 	56 , 	26 , 	43 , 	54 , 	12 , 	75 , 	251 , 	6 , 	24 , 	6 , 	9 , 	16 , 	11 ," 	5,086 ",,,WP line,"18,886","4,798","2,112","1,514","5,062","1,644",963,"34,977"
HY, 	48 , 	93 , 	36 , 	26 , 	128 , 	51 , 	124 , 	242 , 	304 , 	156 , 	271 , 	227 , 	181 , 	189 , 	8 , 	118 , 	203 , 	351 , 	33 , 	22 , 	25 , 	8 , 	6 , 	20 , 	39 , 	347 , 	339 , 	277 , 	236 , 	73 , 	47 , 	22 , 	34 , 	37 , 	6 , 	27 , 	93 , 	13 , 	46 , 	9 , 	10 , 	15 , 	8 ," 	4,549 ",,,FT/ED line,"21,286","8,368","3,092","3,783","1,668","12,480",696,"51,373"
SH, 	21 , 	36 , 	8 , 	10 , 	84 , 	21 , 	63 , 	167 , 	212 , 	96 , 	108 , 	102 , 	76 , 	111 , 	111 , 	5 , 	69 , 	164 , 	16 , 	9 , 	12 , 	6 , 	3 , 	12 , 	18 , 	369 , 	340 , 	222 , 	182 , 	48 , 	35 , 	10 , 	20 , 	36 , 	6 , 	18 , 	49 , 	4 , 	17 , 	7 , 	6 , 	8 , 	6 ," 	2,918 ",,,SFIA,"7,953",894,"2,505",771,931,611,"1,077","14,742"
UC, 	23 , 	32 , 	13 , 	12 , 	131 , 	26 , 	74 , 	185 , 	238 , 	123 , 	98 , 	98 , 	97 , 	139 , 	202 , 	74 , 	9 , 	164 , 	19 , 	17 , 	18 , 	4 , 	5 , 	8 , 	17 , 	614 , 	556 , 	290 , 	206 , 	48 , 	26 , 	12 , 	25 , 	38 , 	11 , 	21 , 	57 , 	3 , 	14 , 	6 , 	5 , 	19 , 	5 ," 	3,782 ",,,Entries,"108,663","40,357","51,870","32,339","34,303","51,077","15,437","334,045"
FM, 	39 , 	80 , 	39 , 	33 , 	273 , 	66 , 	135 , 	375 , 	479 , 	168 , 	149 , 	211 , 	155 , 	243 , 	361 , 	184 , 	172 , 	25 , 	36 , 	31 , 	25 , 	9 , 	10 , 	27 , 	23 ," 	1,303 "," 	1,084 ", 	488 , 	364 , 	89 , 	45 , 	28 , 	32 , 	52 , 	8 , 	31 , 	90 , 	8 , 	41 , 	7 , 	9 , 	48 , 	8 ," 	7,080 ",,,,,,,,,,,
CN, 	34 , 	46 , 	20 , 	12 , 	125 , 	32 , 	132 , 	271 , 	324 , 	27 , 	51 , 	69 , 	34 , 	28 , 	35 , 	16 , 	19 , 	33 , 	11 , 	110 , 	329 , 	96 , 	49 , 	87 , 	18 , 	737 , 	738 , 	411 , 	366 , 	72 , 	67 , 	43 , 	38 , 	54 , 	22 , 	8 , 	11 , 	64 , 	320 , 	12 , 	22 , 	71 , 	24 ," 	5,090 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	16 , 	25 , 	17 , 	16 , 	132 , 	24 , 	115 , 	323 , 	356 , 	25 , 	30 , 	63 , 	19 , 	15 , 	20 , 	10 , 	17 , 	28 , 	112 , 	14 , 	118 , 	35 , 	28 , 	99 , 	15 ," 	1,339 "," 	1,290 ", 	483 , 	429 , 	88 , 	50 , 	67 , 	32 , 	82 , 	21 , 	4 , 	6 , 	37 , 	125 , 	20 , 	25 , 	100 , 	20 ," 	5,889 ",,,Dtwn SF,"4,524",,,,,,,
WC, 	26 , 	36 , 	23 , 	24 , 	126 , 	33 , 	129 , 	258 , 	343 , 	25 , 	43 , 	69 , 	27 , 	17 , 	24 , 	15 , 	16 , 	23 , 	367 , 	124 , 	13 , 	56 , 	45 , 	170 , 	15 ," 	1,157 "," 	1,068 ", 	464 , 	348 , 	87 , 	54 , 	51 , 	31 , 	57 , 	21 , 	8 , 	9 , 	67 , 	210 , 	18 , 	22 , 	115 , 	32 ," 	5,864 ",,,OAK,"30,062","1,871",,,,,,
LF, 	13 , 	10 , 	11 , 	9 , 	87 , 	12 , 	48 , 	159 , 	182 , 	14 , 	22 , 	32 , 	7 , 	6 , 	9 , 	5 , 	4 , 	8 , 	131 , 	44 , 	69 , 	7 , 	20 , 	76 , 	6 , 	865 , 	779 , 	266 , 	215 , 	39 , 	19 , 	21 , 	9 , 	22 , 	2 , 	3 , 	3 , 	15 , 	37 , 	2 , 	8 , 	55 , 	12 ," 	3,364 ",,,CM line,"58,046","7,405","8,041",,,,,
OR, 	9 , 	17 , 	8 , 	9 , 	59 , 	10 , 	35 , 	112 , 	153 , 	12 , 	24 , 	24 , 	8 , 	4 , 	6 , 	3 , 	4 , 	10 , 	51 , 	30 , 	42 , 	20 , 	6 , 	72 , 	5 , 	736 , 	655 , 	197 , 	188 , 	37 , 	24 , 	25 , 	13 , 	17 , 	4 , 	1 , 	3 , 	9 , 	19 , 	5 , 	6 , 	42 , 	9 ," 	2,721 ",,,RM line,"23,576","11,475","5,627","6,640",,,,
RR, 	24 , 	30 , 	34 , 	24 , 	72 , 	17 , 	68 , 	193 , 	216 , 	39 , 	59 , 	69 , 	17 , 	17 , 	18 , 	15 , 	7 , 	29 , 	81 , 	97 , 	165 , 	72 , 	70 , 	10 , 	31 ," 	1,006 "," 	1,078 ", 	528 , 	485 , 	164 , 	103 , 	55 , 	42 , 	30 , 	6 , 	7 , 	12 , 	17 , 	49 , 	9 , 	10 , 	99 , 	23 ," 	5,197 ",,,WP line,"37,280","9,556","4,100","3,015","5,062",,,
OW, 	25 , 	42 , 	14 , 	18 , 	74 , 	35 , 	60 , 	57 , 	98 , 	37 , 	123 , 	100 , 	31 , 	47 , 	44 , 	19 , 	17 , 	21 , 	17 , 	16 , 	15 , 	6 , 	4 , 	30 , 	9 ," 	1,251 ", 	993 , 	686 , 	476 , 	172 , 	109 , 	35 , 	63 , 	38 , 	11 , 	8 , 	27 , 	4 , 	32 , 	10 , 	13 , 	35 , 	15 ," 	4,934 ",,,FT/ED line,"42,563","16,672","6,078","7,558","3,312","12,480",,
EM, 	242 , 	762 , 	549 , 	553 , 	855 , 	571 , 	938 ," 	1,017 "," 	1,150 ", 	604 , 	774 , 	516 , 	703 , 	614 , 	407 , 	443 , 	672 ," 	1,463 ", 	867 ," 	1,594 "," 	1,386 ", 	932 , 	761 , 	970 ," 	1,399 ", 	90 , 	103 , 	444 , 	454 , 	941 ," 	1,513 "," 	1,122 "," 	1,398 "," 	1,094 ", 	589 , 	526 ," 	1,976 ", 	409 , 	709 , 	482 , 	430 , 	390 , 	824 ," 	34,234 ",,,SFIA,"16,326","1,814","5,005","1,679","1,894","1,307","1,077","334,045"
MT, 	243 , 	716 , 	559 , 	542 , 	667 , 	543 , 	952 , 	771 , 	931 , 	607 , 	727 , 	404 , 	570 , 	576 , 	369 , 	368 , 	584 ," 	1,091 ", 	746 ," 	1,275 "," 	1,031 ", 	708 , 	586 , 	914 ," 	1,092 ", 	123 , 	87 , 	201 , 	423 ," 	1,192 "," 	2,073 "," 	1,575 "," 	2,392 "," 	1,399 ", 	808 , 	446 ," 	1,439 ", 	344 , 	578 , 	653 , 	493 , 	389 ," 	1,075 "," 	33,260 ",,,,,,,,,,,
PL, 	264 , 	533 , 	287 , 	304 , 	708 , 	346 , 	646 , 	598 , 	739 , 	432 , 	582 , 	454 , 	342 , 	335 , 	229 , 	193 , 	231 , 	403 , 	326 , 	395 , 	389 , 	210 , 	155 , 	400 , 	623 , 	659 , 	284 , 	104 , 	384 ," 	1,297 "," 	1,824 "," 	1,092 "," 	2,434 "," 	1,024 ", 	489 , 	188 , 	637 , 	157 , 	346 , 	365 , 	296 ," 	1,061 ", 	546 ," 	23,311 ",,,,,,,,,,,
CC, 	176 , 	472 , 	291 , 	293 , 	487 , 	337 , 	604 , 	523 , 	556 , 	339 , 	546 , 	313 , 	330 , 	294 , 	208 , 	166 , 	187 , 	343 , 	311 , 	368 , 	294 , 	178 , 	152 , 	379 , 	462 , 	409 , 	374 , 	324 , 	60 , 	753 ," 	1,109 ", 	705 ," 	1,550 ", 	624 , 	395 , 	163 , 	467 , 	156 , 	368 , 	317 , 	247 , 	441 , 	363 ," 	17,434 ",,,,,,,,,,,
16, 	98 , 	110 , 	68 , 	116 , 	328 , 	154 , 	271 , 	250 , 	252 , 	143 , 	208 , 	121 , 	94 , 	72 , 	64 , 	45 , 	45 , 	90 , 	63 , 	86 , 	85 , 	34 , 	36 , 	143 , 	175 , 	903 ," 	1,091 "," 	1,529 ", 	851 , 	30 , 	326 , 	348 , 	771 , 	260 , 	133 , 	45 , 	113 , 	35 , 	111 , 	91 , 	92 , 	171 , 	182 ," 	10,234 ",,,,,,,,,,,
24, 	97 , 	118 , 	55 , 	77 , 	302 , 	114 , 	194 , 	224 , 	256 , 	104 , 	149 , 	108 , 	66 , 	54 , 	43 , 	31 , 	26 , 	40 , 	60 , 	45 , 	47 , 	21 , 	20 , 	99 , 	118 ," 	1,307 "," 	1,641 "," 	2,149 "," 	1,178 ", 	318 , 	37 , 	306 , 	811 , 	254 , 	146 , 	21 , 	72 , 	26 , 	86 , 	87 , 	112 , 	154 , 	189 ," 	11,359 ",,,,,,,,,,,
GP, 	27 , 	41 , 	23 , 	27 , 	102 , 	33 , 	75 , 	131 , 	144 , 	41 , 	56 , 	59 , 	32 , 	25 , 	22 , 	10 , 	10 , 	24 , 	37 , 	60 , 	51 , 	21 , 	25 , 	47 , 	44 ," 	1,020 "," 	1,240 "," 	1,340 ", 	666 , 	327 , 	303 , 	28 , 	160 , 	65 , 	58 , 	13 , 	50 , 	10 , 	51 , 	32 , 	59 , 	75 , 	103 ," 	6,765 ",,,,,,,,,,,
BP, 	59 , 	82 , 	31 , 	33 , 	91 , 	45 , 	85 , 	109 , 	132 , 	64 , 	93 , 	77 , 	60 , 	45 , 	34 , 	21 , 	25 , 	33 , 	39 , 	36 , 	30 , 	8 , 	13 , 	42 , 	69 ," 	1,203 "," 	1,435 "," 	3,113 "," 	1,467 ", 	695 , 	811 , 	154 , 	41 , 	153 , 	133 , 	16 , 	66 , 	17 , 	56 , 	93 , 	122 , 	71 , 	147 ," 	11,149 ",,,,,,,,,,,
DC, 	41 , 	91 , 	37 , 	35 , 	121 , 	36 , 	91 , 	146 , 	173 , 	77 , 	93 , 	107 , 	59 , 	54 , 	39 , 	35 , 	38 , 	49 , 	53 , 	79 , 	56 , 	22 , 	16 , 	30 , 	54 ," 	1,057 "," 	1,250 "," 	1,228 ", 	658 , 	259 , 	280 , 	72 , 	167 , 	14 , 	50 , 	24 , 	102 , 	30 , 	66 , 	67 , 	113 , 	146 , 	184 ," 	7,400 ",,,,,,,,,,,
CM, 	12 , 	24 , 	3 , 	5 , 	33 , 	9 , 	27 , 	66 , 	88 , 	10 , 	13 , 	17 , 	9 , 	12 , 	6 , 	6 , 	9 , 	7 , 	20 , 	19 , 	20 , 	3 , 	3 , 	6 , 	10 , 	601 , 	731 , 	589 , 	410 , 	131 , 	156 , 	57 , 	137 , 	45 , 	7 , 	2 , 	25 , 	8 , 	20 , 	15 , 	55 , 	67 , 	74 ," 	3,567 ",,,,,,,,,,,
CV, 	9 , 	8 , 	6 , 	6 , 	48 , 	10 , 	33 , 	68 , 	105 , 	95 , 	55 , 	65 , 	40 , 	75 , 	24 , 	21 , 	18 , 	34 , 	7 , 	4 , 	7 , 	2 , 	1 , 	8 , 	9 , 	460 , 	434 , 	234 , 	181 , 	43 , 	23 , 	10 , 	15 , 	25 , 	2 , 	5 , 	138 , 	0 , 	3 , 	4 , 	5 , 	16 , 	3 ," 	2,355 ",,,,,,,,,,,
ED, 	28 , 	39 , 	18 , 	17 , 	143 , 	30 , 	81 , 	243 , 	332 , 	240 , 	158 , 	219 , 	120 , 	242 , 	91 , 	50 , 	56 , 	91 , 	10 , 	7 , 	9 , 	2 , 	5 , 	13 , 	23 ," 	1,749 "," 	1,443 ", 	725 , 	519 , 	117 , 	77 , 	61 , 	66 , 	110 , 	26 , 	154 , 	21 , 	3 , 	13 , 	16 , 	18 , 	120 , 	19 ," 	7,523 ",,,,,,,,,,,
NC, 	7 , 	11 , 	4 , 	4 , 	38 , 	8 , 	39 , 	132 , 	139 , 	10 , 	12 , 	21 , 	6 , 	6 , 	13 , 	3 , 	4 , 	6 , 	73 , 	36 , 	65 , 	14 , 	6 , 	19 , 	5 , 	362 , 	322 , 	184 , 	173 , 	35 , 	26 , 	13 , 	16 , 	30 , 	7 , 	1 , 	4 , 	4 , 	59 , 	6 , 	8 , 	30 , 	10 ," 	1,969 ",,,,,,,,,,,
WP, 	40 , 	48 , 	11 , 	13 , 	80 , 	29 , 	192 , 	248 , 	311 , 	38 , 	65 , 	102 , 	40 , 	25 , 	46 , 	15 , 	17 , 	38 , 	349 , 	131 , 	223 , 	35 , 	20 , 	53 , 	35 , 	586 , 	553 , 	438 , 	440 , 	115 , 	97 , 	55 , 	59 , 	67 , 	21 , 	4 , 	14 , 	66 , 	15 , 	18 , 	25 , 	78 , 	27 ," 	4,884 ",,,,,,,,,,,
SS, 	11 , 	22 , 	8 , 	7 , 	28 , 	5 , 	21 , 	66 , 	71 , 	12 , 	16 , 	23 , 	6 , 	5 , 	9 , 	5 , 	6 , 	6 , 	13 , 	19 , 	18 , 	3 , 	4 , 	9 , 	8 , 	483 , 	595 , 	411 , 	337 , 	87 , 	89 , 	37 , 	95 , 	61 , 	14 , 	4 , 	16 , 	6 , 	16 , 	6 , 	38 , 	29 , 	51 ," 	2,778 ",,,,,,,,,,,
SB, 	10 , 	30 , 	4 , 	5 , 	28 , 	9 , 	21 , 	43 , 	72 , 	10 , 	14 , 	26 , 	15 , 	8 , 	9 , 	6 , 	5 , 	11 , 	22 , 	23 , 	21 , 	8 , 	5 , 	8 , 	15 , 	429 , 	470 , 	346 , 	276 , 	99 , 	122 , 	63 , 	145 , 	124 , 	61 , 	5 , 	19 , 	7 , 	23 , 	34 , 	7 , 	43 , 	67 ," 	2,771 ",,,,,,,,,,,
SO, 	23 , 	57 , 	37 , 	55 , 	127 , 	33 , 	68 , 	52 , 	75 , 	27 , 	37 , 	32 , 	22 , 	15 , 	11 , 	7 , 	14 , 	34 , 	63 , 	102 , 	114 , 	59 , 	48 , 	84 , 	47 , 	323 , 	338 , 	847 , 	387 , 	146 , 	141 , 	68 , 	69 , 	119 , 	62 , 	11 , 	100 , 	33 , 	77 , 	35 , 	43 , 	18 , 	267 ," 	4,325 ",,,,,,,,,,,
MB, 	26 , 	39 , 	23 , 	31 , 	125 , 	25 , 	39 , 	92 , 	117 , 	20 , 	20 , 	32 , 	13 , 	9 , 	5 , 	5 , 	4 , 	7 , 	23 , 	18 , 	31 , 	11 , 	10 , 	18 , 	18 , 	800 , 	969 , 	585 , 	357 , 	177 , 	190 , 	101 , 	170 , 	175 , 	89 , 	3 , 	18 , 	11 , 	23 , 	47 , 	59 , 	320 , 	14 ," 	4,867 ",,,,,,,,,,,
Entries," 	3,299 "," 	6,753 "," 	4,122 "," 	3,629 "," 	10,231 "," 	4,305 "," 	7,759 "," 	9,914 "," 	12,359 "," 	5,168 "," 	6,871 "," 	5,976 "," 	4,887 "," 	5,078 "," 	4,498 "," 	3,041 "," 	3,754 "," 	7,045 "," 	5,161 "," 	6,032 "," 	5,885 "," 	3,191 "," 	2,602 "," 	4,672 "," 	5,156 "," 	30,885 "," 	31,227 "," 	26,921 "," 	19,630 "," 	10,146 "," 	11,876 "," 	7,130 "," 	11,894 "," 	7,280 "," 	3,543 "," 	2,392 "," 	7,535 "," 	2,014 "," 	4,747 "," 	2,776 "," 	2,660 "," 	5,064 "," 	4,937 "," 	334,045 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
